,status_group
0,non functional
1,functional
2,functional
3,non functional
4,functional
5,functional
6,functional
7,non functional
8,non functional
9,functional
10,functional
11,non functional
12,non functional
13,non functional
14,functional
15,functional
16,functional
17,non functional
18,functional
19,non functional
20,non functional
21,non functional
22,functional
23,functional
24,non functional
25,non functional
26,functional needs repair
27,functional
28,functional
29,non functional
30,non functional
31,functional
32,functional
33,functional
34,functional
35,functional needs repair
36,functional
37,non functional
38,functional
39,functional
40,non functional
41,non functional
42,non functional
43,functional
44,functional
45,functional
46,functional
47,functional
48,functional
49,non functional
50,non functional
51,non functional
52,non functional
53,functional
54,non functional
55,functional
56,non functional
57,functional
58,functional
59,non functional
60,functional
61,functional
62,functional
63,non functional
64,non functional
65,non functional
66,functional needs repair
67,non functional
68,non functional
69,non functional
70,functional
71,functional
72,functional
73,functional
74,non functional
75,non functional
76,non functional
77,functional
78,functional
79,functional
80,functional
81,non functional
82,non functional
83,functional
84,functional
85,non functional
86,non functional
87,functional
88,non functional
89,functional
90,functional
91,non functional
92,non functional
93,non functional
94,non functional
95,non functional
96,functional
97,functional
98,non functional
99,functional
100,functional
101,functional
102,functional
103,functional
104,non functional
105,functional
106,functional
107,non functional
108,non functional
109,non functional
110,non functional
111,functional
112,non functional
113,non functional
114,functional
115,functional
116,non functional
117,functional
118,non functional
119,functional
120,functional
121,functional
122,functional
123,functional
124,functional
125,non functional
126,non functional
127,functional
128,functional needs repair
129,functional
130,functional needs repair
131,functional
132,functional
133,functional
134,functional
135,non functional
136,non functional
137,functional
138,non functional
139,functional
140,non functional
141,non functional
142,functional
143,functional needs repair
144,non functional
145,functional
146,functional
147,functional
148,functional
149,non functional
150,functional
151,non functional
152,functional
153,non functional
154,non functional
155,non functional
156,functional
157,non functional
158,non functional
159,functional
160,functional
161,functional
162,non functional
163,functional
164,non functional
165,functional
166,functional
167,functional
168,non functional
169,functional
170,functional
171,non functional
172,functional
173,functional
174,functional
175,non functional
176,non functional
177,functional
178,non functional
179,non functional
180,functional
181,functional
182,functional
183,functional needs repair
184,functional
185,functional
186,non functional
187,functional
188,non functional
189,functional needs repair
190,functional
191,functional
192,non functional
193,functional
194,functional
195,non functional
196,functional
197,non functional
198,non functional
199,functional
200,functional
201,functional
202,non functional
203,functional
204,functional
205,functional needs repair
206,functional
207,non functional
208,functional
209,non functional
210,functional
211,functional
212,functional
213,functional
214,functional
215,non functional
216,functional
217,functional
218,non functional
219,functional
220,non functional
221,non functional
222,functional
223,functional
224,functional
225,functional
226,functional needs repair
227,functional
228,functional
229,functional
230,functional
231,functional
232,functional
233,non functional
234,functional
235,functional
236,non functional
237,functional needs repair
238,functional
239,functional
240,functional
241,functional
242,non functional
243,functional
244,functional
245,functional
246,non functional
247,functional
248,functional
249,functional
250,non functional
251,functional
252,functional needs repair
253,functional
254,non functional
255,non functional
256,non functional
257,functional
258,non functional
259,functional
260,non functional
261,functional
262,functional
263,functional
264,functional
265,functional
266,functional
267,functional
268,functional
269,functional
270,functional
271,non functional
272,functional
273,functional
274,functional
275,functional
276,non functional
277,functional
278,non functional
279,non functional
280,functional
281,functional needs repair
282,functional
283,non functional
284,functional needs repair
285,functional
286,non functional
287,non functional
288,non functional
289,non functional
290,non functional
291,non functional
292,non functional
293,functional
294,non functional
295,non functional
296,functional
297,functional
298,non functional
299,functional
300,functional
301,functional
302,functional
303,functional
304,functional
305,functional
306,functional
307,functional
308,functional
309,functional
310,non functional
311,functional
312,non functional
313,non functional
314,functional
315,non functional
316,functional
317,functional
318,non functional
319,non functional
320,non functional
321,functional
322,non functional
323,non functional
324,functional
325,non functional
326,functional
327,functional
328,non functional
329,functional
330,functional
331,functional
332,non functional
333,functional
334,functional
335,functional
336,functional
337,non functional
338,non functional
339,functional needs repair
340,functional
341,functional
342,functional
343,functional
344,functional
345,functional
346,non functional
347,functional
348,functional
349,non functional
350,functional
351,non functional
352,functional
353,non functional
354,non functional
355,functional
356,non functional
357,functional
358,non functional
359,functional
360,non functional
361,functional
362,functional
363,non functional
364,non functional
365,functional
366,non functional
367,functional
368,functional
369,functional
370,non functional
371,functional
372,non functional
373,functional
374,non functional
375,functional
376,functional
377,non functional
378,non functional
379,functional
380,functional
381,functional
382,functional
383,non functional
384,functional
385,non functional
386,non functional
387,non functional
388,functional
389,non functional
390,functional
391,functional
392,functional
393,functional
394,non functional
395,functional
396,functional
397,functional
398,functional
399,functional
400,functional
401,non functional
402,functional
403,functional
404,functional
405,functional
406,functional needs repair
407,functional
408,functional
409,non functional
410,functional
411,functional
412,non functional
413,functional
414,non functional
415,non functional
416,functional
417,functional
418,non functional
419,functional
420,functional
421,functional
422,non functional
423,functional
424,non functional
425,functional
426,functional
427,non functional
428,non functional
429,functional
430,functional
431,non functional
432,non functional
433,non functional
434,functional
435,non functional
436,non functional
437,functional
438,non functional
439,functional
440,non functional
441,functional
442,non functional
443,functional
444,non functional
445,non functional
446,functional
447,non functional
448,functional
449,non functional
450,functional
451,non functional
452,functional
453,non functional
454,non functional
455,non functional
456,functional
457,non functional
458,functional
459,functional
460,non functional
461,non functional
462,functional
463,functional
464,functional
465,functional
466,non functional
467,functional
468,non functional
469,non functional
470,functional
471,functional
472,functional
473,functional needs repair
474,functional
475,non functional
476,non functional
477,functional
478,non functional
479,non functional
480,functional
481,functional
482,non functional
483,functional
484,functional
485,non functional
486,functional
487,non functional
488,non functional
489,functional
490,functional
491,functional
492,functional
493,functional
